post_id,post_date,update_date,longitude,latitude,description,condition,manufacturer,model_name,size,image,url,keyword,product_name
5979261819,2017-01-28 11:28am,null,-86.815300,33.559400,"
         
BRAND NEW in box! 
Eddie BauerÂ® QuadTrek Travel System 
 
This Travel System includes a stroller, Eddie Bauer Surefit Infant Car Seat & Car Seat Base. 
 
Stroller Functions: Car Seat Attaches Rear Facing, Folds for Easy Transport, Comfort-grip Handle, Front Swivel Wheels, Accommodates 1 Infant Car Seat, One-hand Fold, Reclining Seat 
 
Retails $250 - http://www.target.com/p/-/A-17290042 
 
$125 
Email with questions.    ",new,null,null,null,"{""original"":""https://images.craigslist.org/00v0v_9OVpYRLh2Uz_600x450.jpg"",""thumb"":""https://images.craigslist.org/00v0v_9OVpYRLh2Uz_50x50c.jpg"",""id"":""9OVpYRLh2Uz""},{""original"":""https://images.craigslist.org/00D0D_ifGEUsCORlG_600x450.jpg"",""thumb"":""https://images.craigslist.org/00D0D_ifGEUsCORlG_50x50c.jpg"",""id"":""ifGEUsCORlG""}",https://bham.craigslist.org/bab/5979261819.html,car seat,"NEW! Eddie Bauer QuadTrek System (Stroller, CarSeat, Base) Retail $25"
5935290380,2016-12-27  8:05pm,2016-12-28  4:25pm,-75.096800,40.347700,"
         
Everything is in great working condition - all things with electronics work.   
The playmat is missing the hanging toys but the mirror and the sound/light attachment are there as well as the whale stuffed animal.  
 
$60 - or make an offer, esp if you take it all!    ",excellent,null,null,null,"{""original"":""https://images.craigslist.org/00e0e_bvxcznPGDd8_600x450.jpg"",""thumb"":""https://images.craigslist.org/00e0e_bvxcznPGDd8_50x50c.jpg"",""id"":""bvxcznPGDd8""},{""original"":""https://images.craigslist.org/00202_32zlTVlW2p_600x450.jpg"",""thumb"":""https://images.craigslist.org/00202_32zlTVlW2p_50x50c.jpg"",""id"":""32zlTVlW2p""},{""original"":""https://images.craigslist.org/00N0N_5c3E2zrTple_600x450.jpg"",""thumb"":""https://images.craigslist.org/00N0N_5c3E2zrTple_50x50c.jpg"",""id"":""5c3E2zrTple""},{""original"":""https://images.craigslist.org/00z0z_4zptg7dOme_600x450.jpg"",""thumb"":""https://images.craigslist.org/00z0z_4zptg7dOme_50x50c.jpg"",""id"":""4zptg7dOme""},{""original"":""https://images.craigslist.org/00808_dzp0lHrBqRQ_600x450.jpg"",""thumb"":""https://images.craigslist.org/00808_dzp0lHrBqRQ_50x50c.jpg"",""id"":""dzp0lHrBqRQ""},{""original"":""https://images.craigslist.org/00Y0Y_9BZsvfBHtWL_600x450.jpg"",""thumb"":""https://images.craigslist.org/00Y0Y_9BZsvfBHtWL_50x50c.jpg"",""id"":""9BZsvfBHtWL""}",https://philadelphia.craigslist.org/bab/5935290380.html,gate,"Baby Gear - bouncer, gate, rocking horse and more"
5978359046,2017-01-27  5:57pm,2017-02-06  1:03pm,-84.236126,33.953755,"
         
DOUBLE Snap-N-Go Stroller ........  a must for TWINS!!!!!!!!!!!!!!!!!!!! 
 
Getting out and about with your babies is so much easier with the new Baby Trend Double Universal Double Stroller. It allows parents to place two infant car seats on the carriage frame without removing the child. It's a convenient alternative to a conventional carriage or stroller because it fits most major brand car seats. The Baby Trend Snap N Go Double Stroller features a convenient, one-hand compact fold for storage or travel, and an extra large storage basket. 
 
Baby Trend Snap-N-Go Double Universal Double Stroller: 
Place 2 infant car seats on the carriage frame 
Baby Trend Snap N Go Double Stroller is designed for a child up to 45 lbs per seat 
Large storage basket 
Parent tray with 2 cup holders 
Accepts all Baby Trend and most major brands of infant car seats 
Rear wheels with brake 
Convenient, 1-hand compact fold 
Lightweight and easy to transport 
 
Thanks for looking... 
Elizabeth 

  
 
 
 
    ",excellent,Baby Trend,Double Snap-N-Go,null,"{""original"":""https://images.craigslist.org/00C0C_4nc6S8DY4ha_600x450.jpg"",""thumb"":""https://images.craigslist.org/00C0C_4nc6S8DY4ha_50x50c.jpg"",""id"":""4nc6S8DY4ha""},{""original"":""https://images.craigslist.org/00P0P_jD7kKhyqUZU_600x450.jpg"",""thumb"":""https://images.craigslist.org/00P0P_jD7kKhyqUZU_50x50c.jpg"",""id"":""jD7kKhyqUZU""},{""original"":""https://images.craigslist.org/00v0v_ibnsSUGvj9E_600x450.jpg"",""thumb"":""https://images.craigslist.org/00v0v_ibnsSUGvj9E_50x50c.jpg"",""id"":""ibnsSUGvj9E""},{""original"":""https://images.craigslist.org/00505_bz1Ql9BjxdB_600x450.jpg"",""thumb"":""https://images.craigslist.org/00505_bz1Ql9BjxdB_50x50c.jpg"",""id"":""bz1Ql9BjxdB""}",https://atlanta.craigslist.org/nat/bab/5978359046.html,stroller,DOUBLE Snap-N-Go Stroller Frame
5979700360,2017-01-28  4:57pm,2017-02-06  5:15pm,-83.944988,33.943360,"
         
Recent Christmas gift that has only been used 4 or 5 times.  Model # 1893283 three wheel stroller in onyx, with super easy one handed fold away convenience.  Cost was $208.23 brand new at Walmart.  I also have a highchair, booster seat, and umbrella stroller listed that I will sell at a great group price.  So if you are pregnant, give me a call and save yourself some serious money!    ",like new,Graco,1893283,null,,https://atlanta.craigslist.org/nat/bab/5979700360.html,booster,LESS THAN HALF PRICE Graco stroller!
5892817505,2016-11-26  9:07am,2016-12-23  8:19am,-81.444500,41.658700,"
         
Like new. Stroller, snap in car seat and base. No tears or stains.    ",like new,Graco,Metrolite travel system,null,"{""original"":""https://images.craigslist.org/00000_4JUOvpfuqpl_600x450.jpg"",""thumb"":""https://images.craigslist.org/00000_4JUOvpfuqpl_50x50c.jpg"",""id"":""4JUOvpfuqpl""},{""original"":""https://images.craigslist.org/00808_lVnwzRKKsDF_600x450.jpg"",""thumb"":""https://images.craigslist.org/00808_lVnwzRKKsDF_50x50c.jpg"",""id"":""lVnwzRKKsDF""}",https://cleveland.craigslist.org/bab/5892817505.html,stroller,Graco metrolite travel system
5940091306,2016-12-31  1:28pm,2016-12-31  1:29pm,-78.729401,35.913523,"
         
Nearly new with all accessories, box, instruction manual and recipe book! Retails for >$140, selling for $60! 
 
For over 25 years, since they created the first baby food processor, Beaba has been the world's leading producer of baby food makers for home use. Our products have stood the test of time after decades of real life usage and are constantly refined for ease of use and superior performance. The babycook pro is the best selling product in the Beaba line of baby food makers. The Beaba babycook pro saves time and money by making 17+ servings of baby food at once in less than 15 minutes. With the built-in steamer you maintain quality of fresh food by locking in vitamins and nutrients while cooking. The babycook pro is the best all-in-one device for easy cooking, blending, defrosting and reheating. The smart design lets you operate the food maker with one-hand, alerts you when the food is ready and comes with a build in an auto shut off safety feature. Join the Beaba community and share recipes with other and get new recipes from our blog and cookbooks so that you can maintain a varied and healthy menu for your baby. 
 
Cook and process fresh preservatives free baby food in 15 minutes or less. 
One-handed operation with 4-in-1 capability; steam, blends, reheat and defrost. 
Baby-safe auto shut off, audible alert. Contains no harmful BPA, lead or phthalate. 
Stainless Steel Water Reservoir. 
Easy to clean with dishwasher-safe components, Time-saving 4.7 cup capacity that can produce 17+ servings of baby food at once.    ",like new,Béaba,null,null,"{""original"":""https://images.craigslist.org/00o0o_e6n91ZysxHM_600x450.jpg""}",https://raleigh.craigslist.org/bab/5940091306.html,food processor,Béaba Babycook Pro
5955336454,2017-01-11  5:32pm,null,-84.254665,34.036160,"
         
I am selling re-designed universal adaptor to fit the Baby Jogger City Select stroller.  I really only used it a few times.  
 About the Product: 
Create your own Baby Jogger City Select travel system by securely attaching your infant car seat to the stroller 
Works with Chicco KeyFit 30 infant car seats 
Works with Peg-Perego Primo Viaggio 4-35 infant car seats 
Attaches directly to the stroller, no support bars needed 
No tools required for this simple, easy installation process and stroller folds with adapter attached 
 
Cash only.  Thank you!  I am also selling a practically brand new Baby Jogger City Select stroller.  I bought it in March and really don't use it.  $400    ",like new,Baby Jogger,1967361,null,,https://atlanta.craigslist.org/nat/bab/5955336454.html,travel system,City Select Baby Jogger 2016 re-designed universal car seat adaptor
5952843365,2017-01-09 10:16pm,null,-87.508200,34.901600,"
         
Bought for 92$ two months ago. Maybe use a hand full of times 
 
    ",like new,null,null,null,"{""original"":""https://images.craigslist.org/00G0G_gN99EtE3evz_600x450.jpg""}",https://shoals.craigslist.org/bab/5952843365.html,bouncer,Baby 2 n 1 bouncer
5959736553,2017-01-14  7:02pm,null,-86.551000,34.620500,"
         
I have 2 bags of baby girl summer to fall clothes (newborn 0-3 & 3 months). All are in great condition and some have never been worn! I have a baby bathtub that has been opened but never used with accessories. I have a bassinet that is used but it does work and will need batteries! It vibrates, lights up and plays music. A baby bouncer (gender neutral) I haven't used it but I know it needs batteries. 3 glass avent bottles, I've never used them but I know that run for atleast $60 dollars and are great! Lastly I have a babygirl play mat that does work!    ",excellent,null,null,null,"{""original"":""https://images.craigslist.org/00101_gD9HduDlEJ_600x450.jpg"",""thumb"":""https://images.craigslist.org/00101_gD9HduDlEJ_50x50c.jpg"",""id"":""gD9HduDlEJ""},{""original"":""https://images.craigslist.org/00c0c_YVY9OGNlUX_600x450.jpg"",""thumb"":""https://images.craigslist.org/00c0c_YVY9OGNlUX_50x50c.jpg"",""id"":""YVY9OGNlUX""},{""original"":""https://images.craigslist.org/00N0N_kAnYwZY7LMY_600x450.jpg"",""thumb"":""https://images.craigslist.org/00N0N_kAnYwZY7LMY_50x50c.jpg"",""id"":""kAnYwZY7LMY""},{""original"":""https://images.craigslist.org/00U0U_hRgMMTfZiA_600x450.jpg"",""thumb"":""https://images.craigslist.org/00U0U_hRgMMTfZiA_50x50c.jpg"",""id"":""hRgMMTfZiA""},{""original"":""https://images.craigslist.org/00G0G_fqSUOfFpR8y_600x450.jpg"",""thumb"":""https://images.craigslist.org/00G0G_fqSUOfFpR8y_50x50c.jpg"",""id"":""fqSUOfFpR8y""},{""original"":""https://images.craigslist.org/01111_2fdafzRJ6EJ_600x450.jpg"",""thumb"":""https://images.craigslist.org/01111_2fdafzRJ6EJ_50x50c.jpg"",""id"":""2fdafzRJ6EJ""}",https://huntsville.craigslist.org/bab/5959736553.html,bouncer,Baby girl clothes and items!
5892814742,2016-11-26  9:04am,2016-12-24  8:09am,-81.444500,41.658700,"
         
Like new. Excellent condition. No stains no tears.    ",like new,Baby trend,Jogging stroller,null,"{""original"":""https://images.craigslist.org/00q0q_316aESxqUSM_600x450.jpg"",""thumb"":""https://images.craigslist.org/00q0q_316aESxqUSM_50x50c.jpg"",""id"":""316aESxqUSM""},{""original"":""https://images.craigslist.org/00X0X_gjjC7E7bchR_600x450.jpg"",""thumb"":""https://images.craigslist.org/00X0X_gjjC7E7bchR_50x50c.jpg"",""id"":""gjjC7E7bchR""},{""original"":""https://images.craigslist.org/01616_iRiiKzUGqOb_600x450.jpg"",""thumb"":""https://images.craigslist.org/01616_iRiiKzUGqOb_50x50c.jpg"",""id"":""iRiiKzUGqOb""}",https://cleveland.craigslist.org/bab/5892814742.html,stroller,Baby trend jogging stroller
